trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.45, 'e': 1.0}",25,0,-107.33268204911295,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.45, 'e': 0.999000499833375}",20,0,-81.10592016501242,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.45, 'e': 0.997004495503373}",20,0,-105.19915691901873,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.45, 'e': 0.9940179640539353}",25,0,-109.52798894891352,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.45, 'e': 0.9900498337491681}",20,4,-92.51284546645094,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 2}",1
6,False,"{'a': 0.45, 'e': 0.9851119396030628}",20,0,-72.13073993314752,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.45, 'e': 0.9792189645694597}",35,0,-155.04267843985016,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.45, 'e': 0.972388366801247}",30,0,-134.7113468760312,"{0: 18, 1: 4, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.45, 'e': 0.9646402934831231}",20,0,-129.83559605770333,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.45, 'e': 0.9559974818331}",25,0,-81.83948913036048,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.45, 'e': 0.9464851479534839}",20,9,-28.012678237770874,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.45, 'e': 0.936130864291619}",20,0,-145.79743543386664,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.45, 'e': 0.9249644265435394}",20,0,-181.80902241375648,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.45, 'e': 0.9130177108992659}",20,9,-5.190659376385708,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.45, 'e': 0.9003245225862657}",20,0,-177.54739545456903,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
16,False,"{'a': 0.45, 'e': 0.8869204367171576}",35,0,-110.09499578763857,"{0: 20, 1: 10, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.45, 'e': 0.8728426324887194}",20,10,-2.4503893203023335,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.45, 'e': 0.8581297218113939}",25,0,-70.2344570540843,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.45, 'e': 0.8428215734716201}",30,10,-49.36728178214869,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.45, 'e': 0.8269591339433625}",25,0,-44.86530535305865,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.45, 'e': 0.8105842459701873}",25,0,-71.44670696089081,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
22,False,"{'a': 0.45, 'e': 0.7937394660352429}",20,0,-127.90726141901754,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
23,False,"{'a': 0.45, 'e': 0.776467881823738}",20,12,-94.51654881198664,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 2}",1
24,False,"{'a': 0.45, 'e': 0.7588129307612416}",25,0,-172.5848987681729,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
25,False,"{'a': 0.45, 'e': 0.740818220681718}",20,0,-168.5454217131052,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
26,False,"{'a': 0.45, 'e': 0.7225273536420723}",20,0,-32.2565708967479,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.45, 'e': 0.7039837538556211}",25,0,-213.86305468818782,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
28,False,"{'a': 0.45, 'e': 0.6852305006658704}",20,0,-132.07043936586047,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.45, 'e': 0.6663101674248865}",30,0,-87.13205083509374,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.45, 'e': 0.6472646670780348}",20,9,-73.3456405229558,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
